-0.0900, 0.0000, 0.0000
0.0125, -0.0939, -0.0399
0.0000, 0.0000, 0.0000
-0.4013, -0.4923, -0.4323
0.0043, -0.0137, -0.0133
-0.0392, 0.0162, -0.0386
0.0136, 0.0002, -0.0126
-0.0081, 0.0021, 0.0188
0.0490, 0.1372, 0.0303
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0257, 0.0368, 0.0712
0.0323, 0.2225, 0.0343
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000
0.0044, 0.0023, 0.1219
0.0000, 0.0792, 0.0033
